3	who was the first african american to win the nobel prize in literature ?
3	who developed the macintosh computer ?
4	what peninsula is spain part of ?
1	what type of polymer is used for bulletproof vests ?
5	what year did mussolini seize power in italy ?
5	when did john f kennedy get elected as president ?
0	what is acetaminophen ?
0	what is acid rain ?
5	what is the average speed of the horses at the kentucky derby ?
4	what city had a world fair in 1900 ?
0	what does ciao mean ?
0	what is leukemia ?
0	what is the chunnel ?
5	how fast is the speed of light ?
5	how often does old faithful erupt at yellowstone national park ?
5	what year did the andy griffith show begin ?
5	mercury , what year was it discovered ?
4	what state has the least amount of rain per year ?
0	what are enzymes ?
1	what is the most popular sport in japan ?
0	what is osteoporosis ?
5	when was the first wal mart store opened ?
5	when was president kennedy shot ?
4	what is the largest city in the world ?
0	what are xerophytes ?
1	what gasses are in the troposphere ?
4	in poland , where do most people live ?
1	what is the birthstone of october ?
3	who was the first prime minister of canada ?
3	what is shakespeare 's nickname ?
4	what is the longest suspension bridge in the u s ?
2	what is tmj ?
4	what french province is cognac produced in ?
3	who lived in the neuschwanstein castle ?
3	who was the first woman governor in the u s ?
0	what does phi beta kappa mean ?
0	what is poliomyelitis ?
1	what is the active ingredient in baking soda ?
0	what is a tsunami ?
4	what continent is egypt on ?
4	what city 's newspaper is called `` the enquirer '' ?
1	what are the two houses of the legislative branch ?
4	what are the twin cities ?
3	who was the first governor of alaska ?
4	what is the highest dam in the u s ?
4	where is the lourve ?
2	what does nasa stand for ?
0	what are platelets ?
4	what state is the geographic center of the lower 48 states ?
1	what currency does argentina use ?
5	how long did rip van winkle sleep ?
0	what is quicksilver ?
2	what does the abbreviation sos mean ?
4	what strait separates north america from asia ?
1	what is a baby turkey called ?
4	what is the fourth highest mountain in the world ?
4	what is the capital of mongolia ?
2	what is the abbreviation for texas ?
3	what was j f k 's wife 's name ?
0	what is phenylalanine ?
0	what is sodium chloride ?
5	how many pounds in a ton ?
0	what are pediatricians ?
1	what primary colors do you mix to make orange ?
0	what is teflon ?
0	what is wimbledon ?
1	what is the colorful korean traditional dress called ?
5	what year did canada join the united nations ?
3	who was the first person to reach the north pole ?
5	what is the diameter of a golf ball ?
5	what is the population of venezuela ?
0	what does your spleen do ?
1	what is new york 's state bird ?
3	what person 's head is on a dime ?
0	what is semolina ?
5	how much was a ticket for the titanic ?
1	what color are crickets ?
